"function_id";"function_path";"function_name";"error_count"
"263";"arch/x86/mm/init.c";"init_mem_mapping";"1"
"3718";"arch/x86/mm/init_32.c";"mark_nxdata_nx";"1"
"3719";"arch/x86/mm/init_32.c";"set_kernel_text_ro";"1"
"3720";"arch/x86/mm/init_32.c";"set_kernel_text_rw";"1"
"7989";"arch/x86/mm/init_64.c";"register_page_bootmem_memmap";"2"
"7653";"arch/x86/mm/kaiser.c";"kaiser_init";"1"
"3537";"arch/x86/mm/kasan_init_64.c";"kasan_init";"1"
"5250";"arch/x86/mm/mmap.c";"stack_maxrandom_size";"1"
"2521";"arch/x86/mm/mpx.c";"allocate_bt";"1"
"5009";"arch/x86/mm/mpx.c";"mpx_bt_size_bytes";"1"
"5007";"arch/x86/mm/mpx.c";"mpx_set_dir_size";"1"
"3614";"arch/x86/mm/mpx.c";"mpx_set_mm_bd_size";"1"
"2520";"arch/x86/mm/mpx.c";"mpx_unmap_tables";"1"
"3578";"arch/x86/mm/mpx.c";"unmap_entire_bt";"1"
"2519";"arch/x86/mm/mpx.c";"zap_bt_entries";"1"
"3264";"arch/x86/mm/pgtable.c";"___pte_free_tlb";"1"
"7987";"arch/x86/mm/pgtable.c";"pgd_check_tag";"1"
"5471";"arch/x86/mm/tlb.c";"arch_tlbbatch_flush_one_mm";"1"
"7663";"arch/x86/mm/tlb.c";"flush_tlb_func";"2"
"812";"arch/x86/mm/tlb.c";"flush_tlb_func_remote";"1"
"814";"arch/x86/mm/tlb.c";"native_flush_tlb_others";"3"
"3615";"arch/x86/mm/tlb.c";"switch_mawa";"1"
"2403";"arch/x86/mm/tlb.c";"switch_mm_irqs_off";"1"
"5008";"arch/x86/mm/tlb.c";"switch_mpx_bd";"1"
"6889";"arch/x86/oprofile/nmi_int.c";"nmi_create_files";"1"
"6890";"arch/x86/oprofile/op_model_amd.c";"setup_ibs_files";"1"
"8980";"arch/x86/pci/fixup.c";"pci_bdwep_bar";"1"
"9431";"arch/x86/pci/numachip.c";"pci_dev_base";"1"
"7204";"arch/x86/pci/vmd.c";"vmd_setup_dma_ops";"1"
"7205";"arch/x86/pci/vmd.c";"vmd_teardown_dma_ops";"1"
"330";"arch/x86/pci/xen.c";"xen_create_phantom_bar";"1"
"332";"arch/x86/pci/xen.c";"xen_destroy_phantom_bar";"1"
"4130";"arch/x86/platform/ce4100/ce4100.c";"x86_ce4100_early_setup";"1"
"378";"arch/x86/platform/efi/efi.c";"efi_enter_virtual_mode";"1"
"377";"arch/x86/platform/efi/efi.c";"efi_init";"2"
"380";"arch/x86/platform/efi/efi.c";"efi_map_regions";"1"
"381";"arch/x86/platform/efi/efi.c";"efi_setup_init";"1"
"382";"arch/x86/platform/efi/efi.c";"map_regions_fixed";"1"
"383";"arch/x86/platform/efi/efi.c";"save_runtime_map";"1"
"2496";"arch/x86/platform/intel-quark/imr.c";"imr_read";"1"
"6035";"arch/x86/platform/intel-quark/imr.c";"imr_write";"1"
"187";"arch/x86/um/os-Linux/task_size.c";"os_get_top_address";"1"
"188";"arch/x86/um/os-Linux/task_size.c";"page_ok";"2"
"8071";"arch/x86/xen/apic.c";"xen_io_apic_read";"1"
"2995";"arch/x86/xen/enlighten.c";"arch_xen_balloon_init";"1"
"8228";"arch/x86/xen/mmu_pv.c";"xen_flush_tlb_others";"1"
"278";"arch/x86/xen/p2m.c";"p2m_dump_open";"1"
"280";"arch/x86/xen/p2m.c";"p2m_dump_show";"1"
"270";"arch/x86/xen/p2m.c";"xen_alloc_p2m_entry";"1"
"284";"arch/x86/xen/p2m.c";"xen_p2m_debugfs";"1"
"2532";"arch/x86/xen/smp.c";"xen_cpu_die";"1"
"2531";"arch/x86/xen/smp.c";"xen_cpu_up";"1"
"6214";"arch/x86/xen/spinlock.c";"xen_init_lock_cpu";"1"
